name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,preferred_foot
L. Messi,6/24/1987,31,170.18,72.1,"CF,RW,ST",Argentina,94,94,110500000.0,Left
C. Eriksen,2/14/1992,27,154.94,76.2,"CAM,RM,CM",Denmark,88,89,69500000.0,Right
P. Pogba,3/15/1993,25,190.5,83.9,"CM,CAM",France,88,91,73000000.0,Right
L. Insigne,6/4/1991,27,162.56,59.0,"LW,ST",Italy,88,88,62000000.0,Right
K. Koulibaly,6/20/1991,27,187.96,88.9,CB,Senegal,88,91,60000000.0,Right
V. van Dijk,7/8/1991,27,193.04,92.1,CB,Netherlands,88,90,59500000.0,Right
K. Mbappé,12/20/1998,20,152.4,73.0,"RW,ST,RM",France,88,95,81000000.0,Right
S. Agüero,6/2/1988,30,172.72,69.9,ST,Argentina,89,89,64500000.0,Right
M. Neuer,3/27/1986,32,193.04,92.1,GK,Germany,89,89,38000000.0,Right
E. Cavani,2/14/1987,32,185.42,77.1,ST,Uruguay,89,89,60000000.0,Right
Sergio Busquets,7/16/1988,30,187.96,76.2,"CDM,CM",Spain,89,89,51500000.0,Right
T. Courtois,5/11/1992,26,198.12,96.2,GK,Belgium,89,90,53500000.0,Left
M. ter Stegen,4/30/1992,26,187.96,84.8,GK,Germany,89,92,58000000.0,Right
A. Griezmann,3/21/1991,27,175.26,73.0,"CF,ST",France,89,90,78000000.0,Left
M. Salah,6/15/1992,26,175.26,71.2,"RW,ST",Egypt,89,90,78500000.0,Left
P. Dybala,11/15/1993,25,152.4,74.8,"CAM,RW",Argentina,89,94,89000000.0,Left
M. Škriniar,2/11/1995,24,187.96,79.8,CB,Slovakia,86,93,53500000.0,Right
Fernandinho,5/4/1985,33,152.4,67.1,CDM,Brazil,87,87,20500000.0,Right
G. Higuaín,12/10/1987,31,185.42,88.9,ST,Argentina,87,87,48500000.0,Right
I. Rakitić,3/10/1988,30,182.88,78.0,"CM,CDM",Croatia,87,87,46500000.0,Right
J. Vertonghen,4/24/1987,31,187.96,86.2,CB,Belgium,87,87,34000000.0,Left
D. Mertens,5/6/1987,31,170.18,60.8,"CF,ST",Belgium,87,87,45000000.0,Right
Marcelo,5/12/1988,30,175.26,79.8,LB,Brazil,87,87,36500000.0,Left
T. Alderweireld,3/2/1989,30,185.42,81.2,CB,Belgium,87,88,44000000.0,Right
Jordi Alba,3/21/1989,29,170.18,68.0,LB,Spain,87,87,38000000.0,Left
Thiago,4/11/1991,27,175.26,69.9,"CM,CAM,CDM",Spain,87,87,51500000.0,Right
C. Immobile,2/20/1990,29,185.42,84.8,ST,Italy,87,87,52000000.0,Right
K. Navas,12/15/1986,32,185.42,79.8,GK,Costa Rica,87,87,30500000.0,Right
Isco,4/21/1992,26,175.26,78.9,"CAM,CM,LW",Spain,87,90,62500000.0,Right
J. Rodríguez,7/12/1991,27,154.94,74.8,"CAM,CM,RM",Colombia,87,88,59000000.0,Left
Casemiro,2/23/1992,27,185.42,83.9,CDM,Brazil,87,89,50500000.0,Right
M. Icardi,2/19/1993,26,154.94,74.8,ST,Argentina,87,90,64500000.0,Right
Kepa,10/3/1994,24,185.42,84.8,GK,Spain,84,90,31000000.0,Right
H. Ziyech,3/19/1993,25,154.94,64.9,"CAM,RW",Morocco,84,86,38000000.0,Left
Fabinho,10/23/1993,25,187.96,78.0,CDM,Brazil,84,88,34000000.0,Right
A. Martial,12/5/1995,23,182.88,76.2,"LW,ST,LM",France,84,90,42500000.0,Right
T. Werner,3/6/1996,23,154.94,74.8,ST,Germany,84,87,40000000.0,Right
N. Süle,9/3/1995,23,195.58,97.1,CB,Germany,84,90,36500000.0,Right
Bruno Fernandes,9/8/1994,24,152.4,68.9,"CAM,CM",Portugal,84,88,40500000.0,Right
Alex Telles,12/15/1992,26,154.94,71.2,LB,Brazil,84,86,31000000.0,Left
J. Giménez,1/20/1995,24,185.42,79.8,CB,Uruguay,84,88,34000000.0,Right
N. Fekir,7/18/1993,25,172.72,74.8,CAM,France,84,88,40500000.0,Left
D. Sánchez,6/12/1996,22,187.96,78.9,CB,Colombia,84,88,34000000.0,Right
Marco Asensio,1/21/1996,23,182.88,76.2,"LW,RW",Spain,84,89,41500000.0,Left
O. Dembélé,5/15/1997,21,152.4,67.1,"RW,LW",France,84,92,46000000.0,Left
Iniesta,5/11/1984,34,170.18,68.0,"CM,LM",Spain,85,85,18500000.0,Right
Z. Ibrahimović,10/3/1981,37,195.58,94.8,ST,Sweden,85,85,14000000.0,Right
Jorginho,12/20/1991,27,154.94,67.1,CM,Italy,83,84,30000000.0,Right
E. Višća,2/17/1990,29,172.72,63.0,"RM,RW",Bosnia Herzegovina,83,83,26000000.0,Right
S. Gnabry,7/14/1995,23,175.26,74.8,"LM,RM,CAM,LW",Germany,83,87,34000000.0,Right
M. Kovačić,5/6/1994,24,175.26,78.0,CM,Croatia,83,89,35000000.0,Right
William Carvalho,4/7/1992,26,187.96,83.0,"CDM,CM",Portugal,83,86,27000000.0,Right
Felipe,5/16/1989,29,190.5,86.2,CB,Brazil,83,84,22500000.0,Right
Y. Carrasco,9/4/1993,25,154.94,73.0,LM,Belgium,83,86,33000000.0,Right
Lucas Vázquez,7/1/1991,27,172.72,69.9,"RW,RM",Spain,83,83,27000000.0,Right
Q. Promes,1/4/1992,27,175.26,72.1,"LM,ST,RM",Netherlands,83,83,28000000.0,Right
L. Goretzka,2/6/1995,24,187.96,78.9,"CM,CAM,CDM",Germany,83,88,34000000.0,Right
A. Rabiot,4/3/1995,23,193.04,79.8,"CM,CDM",France,83,87,33000000.0,Left
A. Romagnoli,1/12/1995,24,187.96,78.0,CB,Italy,83,90,31000000.0,Left
João Cancelo,5/27/1994,24,182.88,73.9,RB,Portugal,83,89,29500000.0,Right
Anderson Talisca,2/1/1994,25,190.5,79.8,CAM,Brazil,83,87,34000000.0,Left
K. Coman,6/13/1996,22,152.4,71.2,"LM,RM,LW,RW",France,83,88,34500000.0,Right
T. Lemar,11/12/1995,23,170.18,62.1,"LM,CAM,RM",France,83,89,35500000.0,Left
J. Tah,2/11/1996,23,195.58,97.1,CB,Germany,82,87,25000000.0,Right
M. Politano,8/3/1993,25,170.18,67.1,"RM,LM,ST",Italy,82,85,28000000.0,Left
C. Lenglet,6/17/1995,23,185.42,81.2,CB,France,82,88,26000000.0,Left
Pau López,12/13/1994,24,187.96,77.1,GK,Spain,82,87,21500000.0,Left
H. Lozano,7/30/1995,23,175.26,69.9,"RW,LW",Mexico,82,87,29500000.0,Right
Malcom,2/26/1997,22,172.72,73.9,RW,Brazil,82,89,31500000.0,Left
L. Torreira,2/11/1996,23,167.64,64.0,"CDM,CM",Uruguay,82,87,25000000.0,Right
Gonçalo Guedes,11/29/1996,22,152.4,68.0,"LM,ST,RM,LW",Portugal,82,86,29000000.0,Right
G. Lo Celso,4/9/1996,22,175.26,69.9,"CM,CAM,CDM",Argentina,82,88,30000000.0,Left
Fabián,4/3/1996,22,187.96,69.9,"CM,CDM,CAM",Spain,82,90,32000000.0,Left
F. de Jong,5/12/1997,21,154.94,69.9,"CM,CDM,CB",Netherlands,82,89,31000000.0,Right
Raphaelito Anjos,2/29/1988,31,190.5,84.8,GK,Brazil,82,82,14000000.0,Right
Juiano Mestres,2/29/1984,35,154.94,82.1,"CB,CDM",Brazil,82,82,6500000.0,Right
Rosberto Dourado,2/29/1988,31,175.26,69.9,"CDM,CM",Brazil,82,82,16500000.0,Right
Arthur,8/12/1996,22,170.18,73.0,CM,Brazil,82,90,32500000.0,Right
Rodri,6/22/1996,22,190.5,82.1,"CM,CDM",Spain,82,87,29000000.0,Right
M. Parolo,1/25/1985,34,182.88,74.8,"CDM,CM",Italy,82,82,9000000.0,Right
M. Kruse,3/19/1988,30,154.94,76.2,"CF,ST,CAM",Germany,82,82,21500000.0,Left
J. Henderson,6/17/1990,28,182.88,79.8,"CDM,CM",England,82,82,18000000.0,Right
N. Gaitán,2/23/1988,31,172.72,66.2,CAM,Argentina,82,82,21000000.0,Left
M. Arnautović,4/19/1989,29,193.04,83.0,ST,Austria,82,82,22000000.0,Right
S. Giovinco,1/26/1987,32,162.56,60.8,"CF,ST",Italy,82,82,20000000.0,Right
G. Sigurðsson,9/8/1989,29,185.42,77.1,CAM,Iceland,82,82,22500000.0,Right
Giuliano,5/31/1990,28,172.72,68.0,"CAM,RW",Brazil,82,82,22500000.0,Right
P. Gulácsi,5/6/1990,28,193.04,86.2,GK,Hungary,82,83,18000000.0,Right
Luiz Gustavo,7/23/1987,31,187.96,78.0,"CDM,CB",Brazil,82,82,16500000.0,Left
K. Trippier,9/19/1990,28,152.4,72.1,"RB,RWB",England,82,82,18500000.0,Right
A. Ramsey,12/26/1990,28,182.88,76.2,"CM,CDM,CAM",Wales,82,82,23000000.0,Right
M. Balotelli,8/12/1990,28,187.96,88.0,ST,Italy,82,82,23500000.0,Right
Marlos,6/7/1988,30,175.26,68.9,RM,Ukraine,82,82,21000000.0,Left
Taison,1/13/1988,31,172.72,64.0,"LM,CAM",Brazil,82,82,21000000.0,Right
G. Bonaventura,8/22/1989,29,154.94,74.8,"CM,LW",Italy,82,82,22000000.0,Right
G. Kondogbia,2/15/1993,26,187.96,79.8,"CM,CDM",Central African Rep.,81,84,22000000.0,Left
J. Roussillon,1/6/1993,26,175.26,79.8,"LB,LWB,LM",France,81,83,18000000.0,Left
S. Zaza,6/25/1991,27,185.42,83.9,ST,Italy,81,82,21000000.0,Left
S. Vrsaljko,1/10/1992,27,154.94,76.2,RB,Croatia,81,81,15000000.0,Right
C. Kramer,2/19/1991,28,190.5,76.2,"CDM,CM",Germany,81,82,17000000.0,Right
B. Mendy,7/17/1994,24,185.42,84.8,LB,France,81,86,20000000.0,Left
M. Sabitzer,3/17/1994,24,152.4,77.1,"CAM,CM",Austria,81,84,22500000.0,Right
M. Nastasić,3/28/1993,25,187.96,83.0,CB,Serbia,81,84,18500000.0,Left
A. Plea,3/10/1993,25,154.94,78.9,"ST,LW",France,81,83,22000000.0,Right
M. Ginter,1/19/1994,25,187.96,83.0,"CB,CDM",Germany,81,83,18500000.0,Right
Gerard Moreno,4/7/1992,26,154.94,77.1,ST,Spain,81,83,22000000.0,Left
A. Doucouré,1/1/1993,26,182.88,76.2,"CDM,CM",France,81,85,19500000.0,Right
R. Guerreiro,12/22/1993,25,170.18,71.2,"LM,LB,CM",Portugal,81,84,22500000.0,Left
Ricardo Pereira,10/6/1993,25,175.26,69.9,"RB,RM",Portugal,81,84,18500000.0,Right
Samu Castillejo,1/18/1995,24,182.88,67.1,"RM,LM,CM",Spain,81,85,23000000.0,Left
J. Brandt,5/2/1996,22,185.42,83.9,"LM,RM,CAM",Germany,81,88,25000000.0,Right
N. Pépé,5/29/1995,23,182.88,73.0,"RM,RW,ST",Ivory Coast,80,88,22000000.0,Left
S. Bergwijn,10/8/1997,21,152.4,78.0,"LW,RW",Netherlands,80,86,20500000.0,Right
A. Onana,4/2/1996,22,187.96,93.0,GK,Cameroon,80,85,14500000.0,Right
F. Balbuena,8/23/1991,27,187.96,84.8,CB,Paraguay,80,83,15500000.0,Right
André Silva,11/6/1995,23,185.42,78.9,ST,Portugal,80,87,21000000.0,Right
Oyarzabal,4/21/1997,21,154.94,78.0,"LW,LM,RW",Spain,80,87,21000000.0,Left
Everton Andrão,2/29/1984,35,152.4,74.8,"CDM,CM",Brazil,80,80,4500000.0,Right
Welington Dano,2/29/1988,31,152.4,68.9,"LB,LM",Brazil,80,80,10500000.0,Left
Richarlison,5/10/1997,21,154.94,71.2,"ST,LW,LM",Brazil,80,86,21000000.0,Right
Odriozola,12/14/1995,23,175.26,66.2,RB,Spain,80,88,18500000.0,Right
Carlos Soler,1/2/1997,22,154.94,76.2,"RM,CM",Spain,80,87,21000000.0,Right
H. Aouar,6/30/1998,20,175.26,69.9,"CM,LM",France,80,90,23500000.0,Right
T. Ndombele,12/28/1996,22,154.94,76.2,"CM,CDM",France,80,89,22500000.0,Right
M. Gómez,8/14/1996,22,185.42,83.9,ST,Uruguay,80,85,20500000.0,Right
Joaquín,7/21/1981,37,152.4,74.8,"LM,ST,RM",Spain,81,81,6000000.0,Right
J. Mathieu,10/29/1983,35,187.96,83.9,CB,France,81,81,5500000.0,Left
J. Matip,8/8/1991,27,193.04,89.8,CB,Cameroon,80,82,15000000.0,Right
S. Aurier,12/24/1992,26,175.26,76.2,"RB,RWB",Ivory Coast,80,83,15500000.0,Right
J. Guilavogui,9/19/1990,28,187.96,77.1,"CDM,CM",France,80,81,14000000.0,Right
A. Oxlade-Chamberlain,8/15/1993,25,175.26,69.9,"CM,RM",England,80,85,19500000.0,Right
M. Ryan,4/8/1992,26,182.88,82.1,GK,Australia,80,83,13000000.0,Right
V. Aboubakar,1/22/1992,27,182.88,82.1,ST,Cameroon,80,81,17500000.0,Right
L. Muriel,4/16/1991,27,152.4,78.9,ST,Colombia,80,81,17500000.0,Right
D. Vida,4/29/1989,29,182.88,76.2,"CB,RB",Croatia,80,80,11500000.0,Right
Ibai Gómez,11/11/1989,29,152.4,72.1,"RM,RW,LM",Spain,80,80,15000000.0,Right
Cristian Tello,8/19/1991,27,152.4,64.9,"LM,RM",Spain,80,80,16000000.0,Right
Ismaily,1/11/1990,29,152.4,82.1,LB,Brazil,80,80,11500000.0,Left
A. Mandi,10/22/1991,27,182.88,78.0,CB,Algeria,80,83,15500000.0,Right
C. Tătăruşanu,2/9/1986,33,195.58,86.2,GK,Romania,80,80,8500000.0,Right
J. Murillo,5/27/1992,26,182.88,78.0,CB,Colombia,80,84,16000000.0,Right
E. Dier,1/15/1994,25,187.96,89.8,"CDM,CB,CM",England,80,84,16500000.0,Right
J. Butland,3/10/1993,25,195.58,94.8,GK,England,80,85,14000000.0,Right
S. Sorrentino,3/28/1979,39,185.42,84.8,GK,Italy,80,80,1000000.0,Right
W. Rooney,10/24/1985,33,175.26,83.0,ST,England,80,80,12000000.0,Right
Moyá,4/2/1984,34,187.96,83.0,GK,Spain,80,80,6000000.0,Right
L. López,3/2/1983,36,175.26,72.1,ST,Argentina,80,80,7000000.0,Right
J. Mascherano,6/8/1984,34,175.26,73.0,"CDM,CB",Argentina,80,80,4500000.0,Right
Raffael,3/28/1985,33,175.26,68.9,"CF,ST",Brazil,80,80,9500000.0,Right
Diego López,11/3/1981,37,195.58,88.9,GK,Spain,80,80,2000000.0,Right
Juanfran,1/9/1985,34,154.94,71.2,RB,Spain,80,80,5500000.0,Right
I. Denisov,5/17/1984,34,175.26,69.9,CDM,Russia,80,80,4500000.0,Right
I. Akinfeev,4/8/1986,32,185.42,78.0,GK,Russia,80,80,8500000.0,Right
A. Gignac,12/5/1985,33,187.96,91.2,ST,France,80,80,12000000.0,Right
A. Granqvist,4/16/1985,33,193.04,83.9,CB,Sweden,80,80,,Right
Manuel Fernandes,2/5/1986,33,175.26,74.8,"LM,CAM",Portugal,80,80,11500000.0,Right
Dante,10/18/1983,35,187.96,84.8,CB,Brazil,80,80,4500000.0,Left
L. Perrin,8/7/1985,33,154.94,79.8,CB,France,80,80,8500000.0,Right
Borja Valero,1/12/1985,34,175.26,73.0,"CAM,CDM",Spain,80,80,9000000.0,Right
A. Januzaj,2/5/1995,24,185.42,76.2,"RW,RM",Belgium,79,85,17500000.0,Left
J. Hector,5/27/1990,28,185.42,74.8,"LB,CDM",Germany,79,79,10000000.0,Left
M. Dabbur,5/14/1992,26,182.88,76.2,ST,Israel,79,81,15500000.0,Right
Óliver Torres,11/10/1994,24,175.26,63.0,CM,Spain,79,84,16500000.0,Right
Y. Bounou,4/5/1991,27,193.04,78.0,GK,Morocco,79,82,10500000.0,Left
J. Hofmann,7/14/1992,26,175.26,69.9,"CAM,RM,LM",Germany,79,80,15000000.0,Right
Otávio,2/9/1995,24,172.72,71.2,"RM,CAM,CM",Brazil,79,85,17500000.0,Right
Jonny,3/3/1994,25,170.18,69.9,LWB,Spain,79,83,13500000.0,Right
L. Dendoncker,4/15/1995,23,187.96,88.0,"CDM,CB,CM",Belgium,79,85,14500000.0,Right
R. Zobnin,2/11/1994,25,182.88,74.8,"CDM,CM,LM",Russia,79,86,15000000.0,Right
Ricardo Horta,9/15/1994,24,172.72,63.0,LM,Portugal,79,84,17000000.0,Right
Thiago Mendes,3/15/1992,26,152.4,79.8,"CDM,CM,RM",Brazil,79,83,13500000.0,Right
J. Lerma,10/25/1994,24,152.4,69.9,"CDM,CM",Colombia,79,83,14000000.0,Right
J. Gbamin,9/25/1995,23,185.42,83.0,"CDM,CM,CB",Ivory Coast,79,84,14500000.0,Right
I. Marcone,6/3/1990,28,182.88,83.0,CDM,Argentina,79,80,11500000.0,Right
D. Benedetto,5/17/1990,28,152.4,79.8,ST,Argentina,79,79,13000000.0,Right
M. Hitz,9/18/1987,31,193.04,88.9,GK,Switzerland,79,79,8000000.0,Right
N. Clyne,4/5/1991,27,175.26,67.1,RB,England,79,80,11500000.0,Right
A. Ljajić,9/29/1991,27,182.88,73.9,"CAM,LW",Serbia,79,80,15000000.0,Right
J. Guðmundsson,10/27/1990,28,152.4,77.1,"RM,LM",Iceland,79,79,13000000.0,Left
Elkeson,7/13/1989,29,154.94,77.1,"ST,CAM",Brazil,79,79,13000000.0,Right
Kike García,11/25/1989,29,185.42,78.9,ST,Spain,79,79,13000000.0,Right
Escudero,9/2/1989,29,175.26,72.1,"LB,LM",Spain,79,79,10000000.0,Left
Herrerín,1/25/1988,31,187.96,94.8,GK,Spain,79,79,8000000.0,Right
Víctor Ruiz,1/25/1989,30,185.42,78.0,CB,Spain,79,79,10000000.0,Left
G. Medel,8/3/1987,31,170.18,64.9,"CDM,CB",Chile,79,79,9500000.0,Right
Y. Belhanda,2/25/1990,29,152.4,74.8,"CAM,LW",Morocco,79,79,12500000.0,Right
Hugo Mallo,6/22/1991,27,175.26,72.1,RB,Spain,79,79,10500000.0,Right
Borja García,11/2/1990,28,175.26,72.1,"LM,CM",Spain,79,79,13000000.0,Right
W. Khazri,2/8/1991,28,175.26,82.1,"ST,CF,CAM,LM",Tunisia,79,79,13500000.0,Right
P. Jones,2/21/1992,27,185.42,71.2,CB,England,79,80,12000000.0,Right
A. Finnbogason,2/1/1989,30,182.88,79.8,ST,Iceland,79,79,12500000.0,Right
Vinícius Júnior,7/12/2000,18,175.26,73.0,"LW,RW",Brazil,78,92,20500000.0,Right
Junior Firpo,8/22/1996,22,182.88,74.8,"LWB,LB,CB,LM",Spain,78,85,12500000.0,Left
E. Belözoğlu,9/7/1980,38,170.18,72.1,"CM,CDM",Turkey,79,79,4000000.0,Left
Fernando Torres,3/20/1984,34,185.42,78.9,ST,Spain,79,79,6500000.0,Right
B. Schweinsteiger,8/1/1984,34,182.88,78.9,"CDM,CB,CM",Germany,79,79,5000000.0,Right
B. Yılmaz,7/15/1985,33,187.96,77.1,ST,Turkey,79,79,10000000.0,Right
M. Gómez,7/10/1985,33,187.96,88.9,ST,Germany,79,79,10000000.0,Right
A. Young,7/9/1985,33,175.26,64.9,"RB,LB",England,79,79,7000000.0,Right
R. Babel,12/19/1986,32,185.42,84.8,LW,Netherlands,79,79,11000000.0,Right
B. Costil,7/3/1987,31,187.96,88.0,GK,France,79,79,8000000.0,Right
S. Kalou,8/5/1985,33,182.88,77.1,"LM,ST,RM",Ivory Coast,79,79,10000000.0,Right
E. Lavezzi,5/3/1985,33,172.72,74.8,"ST,CAM",Argentina,79,79,8000000.0,Right
H. Ben Arfa,3/7/1987,32,152.4,73.9,"CAM,ST",France,79,79,11000000.0,Left
B. Foster,4/3/1983,35,193.04,89.8,GK,England,79,79,3000000.0,Left
T. Heaton,4/15/1986,32,187.96,92.1,GK,England,79,79,7000000.0,Right
Charles,4/4/1984,34,152.4,74.8,ST,Brazil,79,79,6500000.0,Right
G. Cahill,12/19/1985,33,193.04,88.0,CB,England,79,79,7000000.0,Right
A. Iwobi,5/3/1996,22,185.42,74.8,"LM,RM,LW",Nigeria,78,84,14000000.0,Right
R. Loftus-Cheek,1/23/1996,23,190.5,88.0,"CM,LM",England,78,85,14500000.0,Right
A. Selikhov,4/7/1994,24,187.96,84.8,GK,Russia,78,82,9500000.0,Right
J. Mojica,8/21/1992,26,185.42,73.0,"LWB,LM,LB",Colombia,78,81,10500000.0,Left
W. Barrios,10/16/1993,25,152.4,71.2,"CDM,CM",Colombia,78,83,,Right
C. Izquierdoz,11/3/1988,30,185.42,88.9,CB,Argentina,78,78,8000000.0,Right
W. Benítez,1/19/1993,26,190.5,91.2,GK,Argentina,78,82,9500000.0,Right
N. Maksimović,11/25/1991,27,193.04,87.1,CB,Serbia,78,81,11000000.0,Right
A. Mitrović,9/16/1994,24,187.96,82.1,ST,Serbia,78,83,14000000.0,Right
M. Sportiello,5/10/1992,26,193.04,87.1,GK,Italy,78,80,8500000.0,Right
Capa,5/14/1992,26,175.26,74.8,RB,Spain,78,81,10500000.0,Right
Marcelo Goiano,10/13/1987,31,175.26,68.9,"RB,LB",Brazil,78,78,7500000.0,Right
